Probe_ID	Gene_ID	Assay_Normalized_Signal_HB00E8F_5/25/07_12:10_PM	CV_HB00E8F_5/25/07_12:10_PM	Flags_HB00E8F_5/25/07_12:10_PM
101958	hCG27595.3	0.69	2.2	1
101962	hCG1640203.1	0.19	5.78	1
101965	hCG41110.4	17.92	0.11	0
101973	hCG19197.2	9.58	0.04	0
101974	hCG38221.2	214.56	0.03	0
101979	hCG21668.3	50.46	0.02	0
101980	hCG16790.3	257.59	0.04	0
101985	hCG18831.2	362.64	0.03	0
101987	hCG23698.2	15.02	0.04	0
101998	hCG18912.2	0.57	4.6	1
102001	hCG1998970.1	18.46	0.04	0
102004	hCG19273.3	0.89	1.11	1
102010	hCG2021864	4.99	0.12	0
102013	hCG24786.3	0.43	7.46	1
102034	hCG1816628.1	0.52	30.47	1
102036	hCG33100.2	3.7	0.84	0
102037	hCG1811491.2	220.93	0.04	0
102040	hCG16523.2	2.2	0.14	0
102046	hCG15554.2	31.15	0.03	0
102047	hCG52168.3	32.99	0.04	0
102049	hCG1785168.2	0.49	1.15	1
102051	hCG40250.2	0.58	8.51	1
102059	hCG21751.3	1.94	0.18	0
102060	hCG2043692	0.74	0.28	0
102063	hCG1641112.4	5.61	0.12	0
102071	hCG2039487	0.75	3.87	1
102077	hCG1820730.1	0.32	0.82	0
102081	hCG28754.3	0.54	1.88	1
102085	hCG1981722	14.5	0.08	0
102086	hCG1737355.4	0.32	0.85	0
102088	hCG2039312	0.59	13.12	1
102090	hCG2025762	1.5	0.62	0
102092	hCG1981746	1.84	0.26	0
102096	hCG2040721	0.94	105.41	1
102108	hCG20599.3	58.48	0.04	0
102116	hCG17235.3	3.04	0.13	0
102117	hCG2016494.1	0.32	0.48	64
102125	hCG38383.2	63.77	0.05	0
102126	hCG38448.3	0.74	0.6	0
102133	hCG1780138.2	11.09	0.04	0
102135	hCG21922.2	0.34	0.95	0
102137	hCG2039638	2.51	0.07	0
102138	hCG1812074.1	0.29	0.78	0
102140	hCG42601.3	0.22	1.93	1
102148	hCG2041073	0.94	0.17	0
102152	hCG21718.2	0.4	17.26	1
102161	hCG19496.2	0.65	1.15	1
102162	hCG2022602	0.93	0.18	0
102164	hCG31823.3	8.73	0.06	0
102168	hCG1781322.2	0.2	2.5	1
102174	hCG43754.3	1.23	0.34	0
102175	hCG38065.3	18.99	0.06	0
102177	hCG17694.2	0.48	3.7	1
102183	hCG23754.4	10.34	0.06	0
102204	hCG1646078.4	7.06	0.03	0
102205	hCG23583.3	1.39	0.16	0
102207	hCG39125.3	39.69	0.05	0
102210	hCG1812040.1	1.82	0.09	0
102211	hCG23270.3	44.87	0.02	0
102213	hCG2040314	0.89	0.53	0
102218	hCG19718.2	936.93	0.03	0
102222	hCG2040255	0.62	0.71	0
102225	hCG1791105.1	1.11	0.44	0
102229	hCG23410.3	42.4	0.03	0
102231	hCG1770803.1	4.55	2.65	1
102233	hCG2016509	178.75	0.03	0
102234	hCG14928.4	0.16	5.2	1
102236	hCG40577.3	2.76	0.12	0
102241	hCG29594.3	0.5	2.16	1
